pixel_id,timestamp,region_id,B2_blue,B3_green,B4_red,B8_nir,B11_swir1
R001_P001,2026-04-01,R001,0.084,0.126,0.128,-999.0,0.22
R001_P001,2026-04-08,R001,0.081,0.114,0.133,0.439,-999.0
R001_P001,2026-04-15,R001,0.117,0.121,0.165,0.497,0.275
R001_P001,2026-04-22,R001,0.123,0.102,0.166,0.485,0.203
R001_P001,2026-04-29,R001,0.089,0.136,0.181,0.441,0.246
R001_P001,2026-05-06,R001,0.119,0.15,-999.0,0.358,0.279
R001_P001,2026-05-13,R001,0.129,0.116,0.138,0.359,0.271
R001_P001,2026-05-20,R001,0.115,0.128,0.13,0.38,0.257
R001_P002,2026-04-01,R001,0.101,0.134,0.139,0.452,0.264
R001_P002,2026-04-08,R001,0.121,0.143,0.167,0.425,0.304
R001_P002,2026-04-15,R001,0.128,0.12,0.144,0.498,0.295
R001_P002,2026-04-22,R001,0.125,0.142,0.181,0.472,0.232
R001_P002,2026-04-29,R001,0.103,0.145,0.171,0.492,0.216
R001_P002,2026-05-06,R001,0.124,0.155,0.171,0.451,0.212
R001_P002,2026-05-13,R001,0.11,0.153,0.126,0.416,0.212
R001_P002,2026-05-20,R001,0.1,0.14,0.17,0.457,0.207
R001_P003,2026-04-01,R001,0.109,0.106,0.175,-999.0,0.209
R001_P003,2026-04-08,R001,0.117,0.15,0.182,0.412,0.282
R001_P003,2026-04-15,R001,0.128,0.111,-999.0,0.391,0.233
R001_P003,2026-04-22,R001,0.087,0.111,0.172,0.495,0.205
R001_P003,2026-04-29,R001,0.088,0.141,0.145,0.472,0.26
R001_P003,2026-05-06,R001,0.087,0.148,0.142,-999.0,0.301
R001_P003,2026-05-13,R001,0.107,0.141,0.156,0.431,0.303
R001_P003,2026-05-20,R001,0.086,0.134,0.172,0.395,-999.0
R001_P004,2026-04-01,R001,0.128,0.111,0.134,0.427,0.278
R001_P004,2026-04-08,R001,0.108,0.109,0.145,0.418,0.276
R001_P004,2026-04-15,R001,0.128,0.118,0.149,0.361,0.259
R001_P004,2026-04-22,R001,0.127,0.112,0.129,0.357,0.276
R001_P004,2026-04-29,R001,0.093,0.144,0.18,0.441,-999.0
R001_P004,2026-05-06,R001,0.083,0.127,-999.0,0.404,0.248
R001_P004,2026-05-13,R001,0.121,0.112,0.178,0.352,0.289
R001_P004,2026-05-20,R001,0.117,0.111,0.123,-999.0,0.291
R001_P005,2026-04-01,R001,0.165,0.148,0.216,0.485,0.308
R001_P005,2026-04-08,R001,0.166,0.152,0.193,0.404,0.262
R001_P005,2026-04-15,R001,0.155,0.143,0.165,0.492,0.28
R001_P005,2026-04-22,R001,0.127,0.179,0.176,0.391,0.279
R001_P005,2026-04-29,R001,0.164,0.155,0.176,0.532,0.292
R001_P005,2026-05-06,R001,0.136,0.181,0.183,0.503,0.291
R001_P005,2026-05-13,R001,0.121,0.181,0.186,0.477,0.305
R001_P005,2026-05-20,R001,0.151,0.156,0.217,-999.0,0.256
R001_P006,2026-04-01,R001,0.162,0.163,0.169,0.513,-999.0
R001_P006,2026-04-08,R001,0.169,0.176,-999.0,0.532,0.292
R001_P006,2026-04-15,R001,0.163,0.163,0.209,0.466,0.327
R001_P006,2026-04-22,R001,0.139,0.168,0.189,0.536,0.291
R001_P006,2026-04-29,R001,0.158,0.184,0.22,0.464,0.315
R001_P006,2026-05-06,R001,0.167,0.187,0.219,0.416,0.301
R001_P006,2026-05-13,R001,0.127,0.157,0.198,0.46,0.247
R001_P006,2026-05-20,R001,0.163,0.179,0.167,0.517,0.303
R001_P007,2026-04-01,R001,0.13,0.177,0.206,0.536,0.324
R001_P007,2026-04-08,R001,0.16,0.179,0.219,0.451,0.299
R001_P007,2026-04-15,R001,0.137,0.171,0.213,0.417,0.274
R001_P007,2026-04-22,R001,0.162,0.148,0.201,0.532,0.26
R001_P007,2026-04-29,R001,0.127,0.152,0.172,0.465,-999.0
R001_P007,2026-05-06,R001,0.17,0.186,0.193,0.529,0.301
R001_P007,2026-05-13,R001,0.168,0.18,-999.0,0.493,0.324
R001_P007,2026-05-20,R001,0.141,0.161,0.222,0.486,0.263
R001_P008,2026-04-01,R001,0.136,0.166,0.191,0.452,0.344
R001_P008,2026-04-08,R001,0.151,0.15,0.196,0.524,-999.0
R001_P008,2026-04-15,R001,0.177,0.168,0.186,0.425,0.294
R001_P008,2026-04-22,R001,0.17,0.184,0.2,0.488,0.273
R001_P008,2026-04-29,R001,0.13,0.16,0.189,0.42,0.344
R001_P008,2026-05-06,R001,0.146,0.167,0.18,0.471,0.264
R001_P008,2026-05-13,R001,0.168,0.168,0.224,0.428,0.343
R001_P008,2026-05-20,R001,0.167,0.159,0.193,0.44,0.319
R001_P009,2026-04-01,R001,0.136,0.149,0.18,0.483,0.261
R001_P009,2026-04-08,R001,0.137,0.195,0.204,0.462,0.336
R001_P009,2026-04-15,R001,0.158,0.188,0.215,0.458,0.267
R001_P009,2026-04-22,R001,0.127,0.167,0.179,0.458,0.246
R001_P009,2026-04-29,R001,0.135,0.167,0.196,0.458,0.321
R001_P009,2026-05-06,R001,0.163,0.157,0.176,0.406,0.254
R001_P009,2026-05-13,R001,0.126,0.17,0.206,0.504,0.277
R001_P009,2026-05-20,R001,0.162,0.187,0.21,0.413,-999.0
R001_P010,2026-04-01,R001,0.113,0.128,0.162,0.423,0.227
R001_P010,2026-04-08,R001,0.136,0.154,0.149,0.43,0.23
R001_P010,2026-04-15,R001,0.118,0.143,0.138,0.437,0.281
R001_P010,2026-04-22,R001,0.117,0.119,0.17,0.496,0.278
R001_P010,2026-04-29,R001,0.109,0.12,0.158,0.505,0.305
R001_P010,2026-05-06,R001,0.13,0.127,0.13,0.487,0.256
R001_P010,2026-05-13,R001,0.099,0.131,0.158,0.499,0.261
R001_P010,2026-05-20,R001,0.112,0.146,0.146,0.455,0.219
R001_P011,2026-04-01,R001,0.108,0.134,0.164,0.442,0.317
R001_P011,2026-04-08,R001,0.144,0.142,-999.0,0.435,0.3
R001_P011,2026-04-15,R001,0.136,0.16,0.153,0.416,0.323
R001_P011,2026-04-22,R001,0.143,0.143,0.163,0.408,0.29
R001_P011,2026-04-29,R001,0.129,0.15,0.158,0.502,0.283
